 Nonlinear Nonlinear Collision Collision RHS       Field     Field     Field     Diag.     I/O       INTERVAL  
 Eval.     Commun.   Eval.     Commun.   Linear    Solve     Interp    Vel. Sum  Extras    Calls     TOTAL     
 --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- --------- 
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 1.222E-01 3.830E-02 0.000E+00 0.000E+00 9.312E-02 3.232E-03 2.077E-01 2.356E-01 1.600E-01 5.790E-03 8.838E-01
 1.243E-01 3.825E-02 0.000E+00 0.000E+00 9.514E-02 3.297E-03 2.135E-01 2.414E-01 1.573E-01 5.695E-03 8.974E-01
 1.257E-01 4.882E-02 0.000E+00 0.000E+00 9.275E-02 3.522E-03 2.063E-01 2.386E-01 1.617E-01 7.135E-03 9.039E-01
 1.233E-01 4.472E-02 0.000E+00 0.000E+00 9.311E-02 3.397E-03 2.096E-01 2.370E-01 1.625E-01 5.795E-03 8.979E-01
 1.264E-01 3.786E-02 0.000E+00 0.000E+00 9.375E-02 3.254E-03 2.195E-01 2.434E-01 1.592E-01 5.698E-03 9.073E-01
 1.242E-01 4.540E-02 0.000E+00 0.000E+00 9.157E-02 3.412E-03 2.092E-01 2.393E-01 1.627E-01 5.573E-03 9.000E-01
 1.214E-01 3.704E-02 0.000E+00 0.000E+00 9.123E-02 3.301E-03 2.071E-01 2.365E-01 1.649E-01 5.656E-03 8.857E-01
